Lokalitet,Dato_20,Antall_20,Luket_20,Dato_21,Luket_21,Field,GlobalID,Antall_21,Dato_22,Luket_22,Antall_22,Dato_23,Luket_23,Antall_23,Luket_24,Antall_24,Dato_24,Shape_Leng,Shape_Area,site,siteID,S1_20,S2_20,S3_20,A_20,S1_21,S2_21,S3_21,A_21,S1_22,S2_22,S3_22,A_22,S1_23,S2_23,S3_23,A_23,S1_24,S2_24,S3_24,A_24,area_m2
Kregnesteigen 8b,,0,,,,0,3ae13d6c-1728-45c6-b4a9-97e4b79365eb,0,,,0,2023/06/12,Ja,3650,Ja,600,2024/06/28,282.089063438,2695.93146653,Kregnesteigen,"34",3,0,4,0,8088,43135,21567,0,0,2696,5392,0,0,72790,43135,0,29655,10784,0,0,2695.9314665338
Storrønningen 60,,0,,,,0,dbeb4426-5c5d-4443-8692-58ff5807bcd3,0,,,0,2023/07/07,Ja,39,Nei,0,2024/07/21,93.7188260817,499.987457605,Storronningen,"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,1000,1000,0,0,499.987457604613
Gravråk 2,,0,,,,0,150d8188-c4db-4702-acb2-084f7b3a22b5,0,,,0,2023/08/06,Delvis,820,Ja,70,2024/06/13,26.1807995584,-42.133520153,Gravraak,"17",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,42.1335201350739
Kregnesteigen 7b,,0,,,,0,da36272e-2fce-41cc-8a45-c833e663ebe0,0,,,0,2023/09/05,Ja,9000,Ja,3633,2024/06/19,77.4769704515,199.125465769,Kregnesteigen,"31",0,0,0,0,0,0,0,0,0,0,0,0,0,2390,1394,0,1394,597,0,0,199.125465768564
Kregnesteigen 8c,,0,,,,0,e74e4b58-59b7-42a6-8818-d5a23f39523f,0,,,0,2023/09/13,Ja,345,Ja,2600,2024/07/01,186.925494425,1465.62388105,Kregnesteigen,"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465.62388104759
Kregnesteigen 7c,,0,,,,0,43fa9692-d541-4a1d-8269-50cc1ac7bf9b,0,,,0,,Ja,920,Ja,1200,2024/07/08,118.937347091,138.044310246,Kregnesteigen,"32",0,0,0,0,0,0,0,0,0,0,0,0,0,966,552,0,552,276,0,0,138.044310246594
Gravråk 1,,0,,,,0,bfe4df3f-bdc8-4f50-8ff4-6a1ea0504235,0,,,0,2023/08/07,Ja,3715,Ja,390,2024/06/13,138.235537242,-402.482853454,Gravraak,"11",0,0,0,0,0,402,0,0,0,0,805,0,0,,,,0,0,0,0,402.482853496913
Follstadøya 1-4,,0,,,,0,8a6d29b7-ee7a-4b1e-9a98-ba157e18badb,0,,,0,2023/08/17,Ja,14570,Ja,2000,2024/05/27,340.608899856,-1487.6887617,Follstadoya,"1",,,,,,,,,,,,,,,,,,,,,1487.68876170577
Follstadøya 6,,0,,,,0,464265b4-41ea-410f-9e36-f829e035557f,0,,,0,,,0,Ja,20,2024/06/03,58.2306161559,195.372226572,Follstadoya,"7",,,,,,,,,,,,,,,,,,,,,195.372226572363
Follstadøya 8,,0,,,,0,c513bd01-3204-48b0-9537-a72e76a1c1cc,0,,,0,,,0,Ja,1600,2024/06/06,61.5979439213,229.633185419,Follstadoya,"9",,,,,,,,,,,,,,,,,,,,,229.633185419254
Follstadøya 9,,0,,,,0,5c3990bf-466c-4fdb-9bb0-f8a9773e76cb,0,,,0,,,0,Ja,1030,2024/06/06,80.7040907863,398.330708457,Follstadoya,"10",,,,,,,,,,,,,,,,,,,,,398.330708457157
Follstadøya 10,,0,,,,0,5329fad0-353d-403b-b1bd-fd4a17784509,0,,,0,,,0,Ja,700,2024/06/06,75.4555671586,359.781537142,Follstadoya,"2",,,,,,,,,,,,,,,,,,,,,359.781537142117
Follstadøya 11,,0,,,,0,5e3bd448-1f1c-4bb0-917c-a895dd6af294,0,,,0,,,0,Ja,1310,2024/06/07,92.7370416679,530.963326083,Follstadoya,"3",,,,,,,,,,,,,,,,,,,,,530.963326081634
Follstadøya 12,,0,,,,0,e48ec209-bbef-4b30-93c5-ebcc3d7a524a,0,,,0,,,0,Ja,600,2024/06/10,91.5554172521,469.842789612,Follstadoya,"4",,,,,,,,,,,,,,,,,,,,,469.842789611779
Follstadøya 13,,0,,,,0,76e09277-fe39-47a2-b4c4-28054abc0351,0,,,0,,,0,Ja,700,2024/06/12,86.085048175,247.166291091,Follstadoya,"5",,,,,,,,,,,,,,,,,,,,,247.166291091358
Follstadøya 5,,0,,,,0,11c1b03d-c9ac-46c8-be41-f2a1c94a63a8,0,,,0,,,0,Ja,330,2024/05/30,63.4140791017,172.213681452,Follstadoya,"6",,,,,,,,,,,,,,,,,,,,,172.213681451976
Follstadøya 7,,0,,,,0,0a60b864-2cff-4932-9ab6-12424b4d854b,0,,,0,,,0,Ja,290,2024/06/03,72.2372018485,316.067020411,Follstadoya,"8",,,,,,,,,,,,,,,,,,,,,316.067020410206
Gravråk3,,0,,,,0,f1d5372b-5492-448b-8bd0-8403b604b219,0,,,0,,,0,Ja,1310,2024/06/14,94.2611710823,-466.567587245,Gravraak,"23",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,466.567587261088
Gravråk 4,,0,,,,0,dd405029-0d74-4552-9492-aa157d2cd28d,0,,,0,,,0,Ja,1620,2024/06/14,134.719115512,-731.338254802,Gravraak,"18",0,0,0,0,0,0,1463,0,0,0,0,0,0,,,,0,0,0,0,731.33825486619
Gravråk 5,,0,,,,0,8b7a616a-59eb-405c-83e6-2be4d6aba64b,0,,,0,,,0,Ja,160,2024/06/17,126.798430866,-522.096669377,Gravraak,"19",,,,,,,,,,,,,,,,,0,0,0,0,522.096669360923
Gravråk 6,,0,,,,0,8ad527c6-e4ae-4402-8270-f978584611aa,0,,,0,,,0,Ja,245,2024/06/17,113.485368276,-422.37411998,Gravraak,"20",,,,,,,,,,,,,,,,,0,0,0,0,422.374120039633
Gravråk 7,,0,,,,0,c8d7af8d-1213-4b9f-b6c4-6eb02b7e3be2,0,,,0,,,0,Ja,615,2024/06/18,249.071985053,-1809.0616127,Gravraak,"21",,,,,,,,,,,,,,,,,0,0,0,0,1809.06161288172
Gravråk 8,,0,,,,0,464e8495-f174-43b9-910b-6c11c387f0cb,0,,,0,,,0,Ja,670,2024/06/18,141.896539335,-519.017131294,Gravraak,"22",0,0,0,0,0,519,0,0,0,0,1038,0,0,,,,0,0,0,0,519.017131304368
Storrønningen 56b,,0,,,,0,1a86a193-aa9f-4494-aafc-45227688d00a,0,,,0,,,0,Ja,4600,2024/07/18,737.559381892,-13926.5003706,Storronningen,"89",0,0,0,0,13927,27853,27853,0,69633,41780,55706,0,0,208898,139265,0,557060,487428,13927,0,13926.5003711378
Gravråk 14,,0,,,,0,342221af-d062-46fd-9755-d9709aa3180d,0,,,0,,,0,Ja,520,2024/09/03,25.9359210794,-37.7745977818,Gravraak,"16",,,,,,,,,,,,,,,,,0,0,0,0,37.7745977942832
Gravråk 13,,0,,,,0,50c80cf6-aa95-43e8-94cb-6213cdbd75cf,0,,,0,,,0,Ja,550,2024/09/06,20.2008415552,-15.0139216282,Gravraak,"15",,,,,,,,,,,,,,,,,0,0,0,0,15.0139216001844
Gravråk 12,,0,,,,0,3c880f56-7480-4611-815a-830501068d08,0,,,0,,,0,Ja,565,2024/09/06,24.2604290731,-21.2333368741,Gravraak,"14",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,21.2333368733525
Gravråk 10,,0,,,,0,68182d9c-6eba-4143-9631-b8939183175f,0,,,0,,,0,Ja,10,2024/09/12,54.0343379252,-114.165911728,Gravraak,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,114.165911810938
Gravråk 11,,0,,,,0,e64f15df-7865-49fc-a82d-d5f2416948b3,0,,,0,,,0,Ja,190,2024/09/12,52.974906973,-172.748419514,Gravraak,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,172.748419524636
