Lokalitet,Dato_20,Antall_20,Luket_20,Dato_21,Luket_21,Field,GlobalID,Antall_21,Dato_22,Luket_22,Antall_22,Dato_23,Luket_23,Antall_23,Luket_24,Antall_24,Dato_24,Shape_Leng,Shape_Area,site,siteID,S1_20,S2_20,S3_20,A_20,S1_21,S2_21,S3_21,A_21,S1_22,S2_22,S3_22,A_22,S1_23,S2_23,S3_23,A_23,S1_24,S2_24,S3_24,A_24,area_m2
Storrønningen 38,2020/09/16,200,ja,"02.07",ja,38,78927e27-1078-4a1c-84c4-95077cd6db2c,15,2022/07/07,Delvis,2,2023/07/28,Ja,70,Nei,0,2024/06/17,54.067292804,147.49929389,Storronningen,"68",1,1,3,1,0,0,295,0,0,0,147,0,0,147,442,0,147,0,0,0,147.499293889967
Storrønningen 37,2020/09/15,600,ja,"02.07",ja,37,bdd1e619-42f9-4eea-85a8-30b500453f84,50,2022/07/07,Delvis,15,2023/08/01,Ja,189,Nei,0,2024/06/17,66.5687460863,282.725935471,Storronningen,"67",1,3,5,2,283,283,2262,0,0,565,848,0,0,565,1979,0,565,0,0,0,282.725935472205
Storrønningen 36,2020/09/14,500,ja,"02.07",ja,36,fd700311-8374-4229-b7ca-a1d5157aa40b,20,2022/07/07,Delvis,17,2023/07/14,Ja,170,Nei,0,2024/06/17,69.4640087593,237.992484736,Storronningen,"66",0,1,3,1,0,238,1904,0,952,714,476,0,0,238,714,0,0,0,0,0,237.992484736489
Storrønningen 35,2020/09/14,300,ja,"02.07",ja,35,0dbb5528-b303-4162-828e-1c589b012aad,0,2022/07/07,Delvis,24,2023/07/14,Ja,120,Delvis,2,2024/06/17,67.8429573044,280.240177326,Storronningen,"65",0,0,2,1,0,560,4204,0,1962,1121,560,0,0,560,1121,0,0,0,0,0,280.240177327301
Storrønningen 34,2020/09/14,50,ja,"02.07",ja,34,cd5196d6-9fdf-49f3-b067-5fa7081889b7,100,2022/06/30,Delvis,1,2023/07/14,Ja,170,Nei,0,2024/06/17,113.502747056,541.946756364,Storronningen,"64",0,0,2,1,0,542,4878,0,1084,5419,1084,0,0,2168,10297,0,1626,0,0,0,541.946756364079
Storrønningen 33,2020/09/08,70,ja,"01.07",ja,33,c49d4fab-d917-430f-9e66-cf8c9a0d4905,10,2022/06/30,Nei,0,2023/07/13,Ja,12,Nei,0,2024/06/17,61.993737868,203.073785024,Storronningen,"63",0,0,0,0,0,0,203,0,203,1015,0,0,0,406,2234,0,406,0,0,0,203.073785023764
Storrønningen 32,2020/09/08,150,ja,"01.07",ja,32,ae5ca00f-a528-48c8-ab1d-3ee074b076ef,40,2022/07/07,Delvis,5,2023/07/13,Ja,45,Nei,0,2024/06/17,60.5354568477,222.318421854,Storronningen,"62",0,0,0,0,0,0,0,0,445,667,0,0,0,222,222,0,0,0,0,0,222.318421853939
Storrønningen 31,2020/09/08,150,ja,"01.07",ja,31,79926af8-f770-48b8-ac58-11507e096350,80,2022/07/07,Delvis,1,2023/07/13,Ja,55,Nei,0,2024/06/17,55.4495449312,176.90978332,Storronningen,"61",0,0,0,0,0,0,177,0,1946,531,177,0,0,531,1061,0,0,0,0,0,176.909783319337
Storrønningen 30,2020/09/03,200,ja,"01.07",ja,30,24ca0cc9-608e-4d4b-a1a9-188bf1ff60ed,300,2022/07/07,Delvis,3,2023/07/13,Ja,70,Nei,0,2024/06/17,54.7193483705,160.453100444,Storronningen,"60",0,0,0,0,0,0,321,0,1765,802,160,0,0,481,963,0,160,0,0,0,160.453100444749
Storrønningen 29,2020/09/03,110,ja,"02.07",ja,29,9da905b2-0320-4717-916f-fe1011837431,100,2022/07/07,Delvis,10,2023/07/14,Ja,105,Nei,0,2024/06/17,77.3847618451,220.411643765,Storronningen,"58",1,1,2,0,220,220,1102,0,1322,882,882,0,0,1102,2865,0,661,220,0,0,220.411643763771
